post_id,owner_id,date,year,month,text,views,likes,comments,reposts,post_url,level,reaction,sentiment_label,sentiment_score,sentiment,sentiment_9scale,theme_detected,category_recommendation
5923,-403500,2025-04-28 19:00:01,2025,4,"🎉 ТГТ завершились, и мы наконец узнали результаты! 🎉 

Будет много текста, потому что много победителей и призеров!)))
 
Итак, 

🔥 Начальный уровень (НУ), дистанция личная

Мужская группа: 
🥇 Лысенков Степан (рук. Байер) 
🥈 Федоров Андрей (рук. Смирнов) 
🥉 Дианов Глеб (рук. Байер) 
 
Женская группа: 
🥇 Матвеева Виктория (рук. Смирнов) 
🥈 Алушкина Ксения (рук. Деловая) 
🥉 Чукачёва Анастасия (рук. Штондин) 
 

⭐Базовый уровень (БУ), дистанция связка-двойка

Мужские пары: 
🥇 Нефедов Павел и Сесюкалов Александр (рук. Титков) 
🥈 Борисов Владимир и Лукьянов Михаил (рук. Рыбаков) 
🥉 Бундин Сергей и Марченко Егор (рук. Титков) 
 
Смешанные пары: 
🥇 Ивасик Александр и Чекмарева Елена (рук. Тихова) 
🥈 Кочерова Мария и Степанов Владимир (рук. Комаров) 
🥉 Орлова Мария и Будисенко Александр (рук. Рыбаков) 
 
Женские пары: 
🥇 Шивцова Анита и Андреева Анастасия (рук. Рыбаков) 
🥈 Шевчук Злата и Клюева Анна (рук. Титков) 
🥉 Досова Диана и Тимохина Анастасия (рук. Рыбаков) 

⚡ Базовый уровень продвинутый (БУ+), дистанция связка-двойка
Общий зачёт: 
🥇 Соловьев Юрий и Винокурова Ольга (рук. Исаева) 
🥈 Головня Михаил и Ручкин Игорь (рук. Ердаков) 
🥉 Коршунова Мия и Коршунов Святослав (рук. Панкова) 
 

🚀 Специализированный уровень (СУ) 
Смешанные и женские пары: 
🥇 Иванов Евгений и Фещукова Диана (рук. Данилина) 
🥈 Гревцев Сергей и Зименок Юлия (рук. Медведев) 
🥉 Ганин Максим и Сереброва Евгения (рук. Политова) 
 
Мужские пары: 
🥇 Шадрин Андрей и Мартынов Василий (рук. Данилина) 
🥈 Смирнов Дмитрий и Байер Игорь (рук. Ганин) 
🥉 Мухин Максим и Сомов Клим (рук. Медведев) 
 
 
🔥 Поздравляем наших победителей! 🔥 
 

🎯 Результаты соревнований по спортивному ориентированию 🏆 

Школа НУ – командный зачёт 👥
🥇 Команда ""Женщины Смирнова"" (Матвеева Виктория, Тримбальчук Анастасия, рук. Смирнов) 
🥈 Команда ""Ъ"" (Фёдоров Андрей, Капитонов Илья, рук. Смирнов) 
🥉 Команда ""КотоВасия 1"" (Литвинов Всеволод, Юсипова Анна, рук. Царевский) 
 
Школа БУ – личный зачёт 🏃
Категория Ж (женщины) 
🥇 Василькова София (рук. Титков) 
🥈 Мурзина Надия и Чекмарёва Елена (рук. Тихова) 
🥉 Бурунова Надежда (рук. Тихова) 
 
Категория М (мужчины) 
🥇 Тимонин Семён (рук. Титков) 
🥈 Ивасик Александр (рук. Тихова) 
🥉 Бобриков Алексей и Филатов Александр (рук. Тихова ) 
 
Школа СУ – личный зачёт (смешанная категория) 🏃‍♂️ 
🥇 Громов Роман (рук. Башкирова) 
🥈 Румянцев Михаил (рук. Башкирова) 
🥉 Леонова Юлия (рук. Башкирова) 
 
🎁 Награждение – 13 мая (вторник)! 
Сбор с 19, награждение в 19:30!
Ждём всех на торжественной церемонии! 🏆✨ 

📍По адресу: м. Пушкинская, Старопименовский переулок 4 стр.2, вход со двора через две арки. Желтое трехэтажное здание, посредине коричневая железная дверь.

📊Результаты ТГТ в таблице:
https://docs.google.com/spreadsheets/d/1I77enzMc5chYiMrfGQsh49xW7g3Qcf_d-UaagdMtx9Y/edit?gid=280944915#gid=280944915

🧭Результаты Ориентирования в таблице:
https://docs.google.com/spreadsheets/d/1xZOVt8Eef0779oN0s1G4xbk334lOMOhPx75CkzJqN_0/edit?usp=drivesdk",1857.0,80,1.0,10.0,https://vk.com/wall-403500_5923,root_post,91,2,0.75143737,positive,7,спорт,"Спортивная одежда, спортивные товары"
5913,-403500,2025-04-24 18:00:02,2025,4,"Пока мы ждём итогов, давайте вспомним, как прошли соревнования ТГТ Вестры 2025!
 
☀️Два насыщенных дня, солнечная погода, более 170 участников и 60 судей – всё сложилось для отличных стартов. 
 
🧗Суббота - была посвящена дистанциям для НУ и СУ, а также ориентированию 🗺️ для БУ.
Воскресенье началось с дистанции БУ , а затем настал черёд ориентирования для НУ и СУ 🧭. 
 
🔥Но соревнования – это не только спортивные испытания. Это ещё и тёплые вечера у костра, песни под гитару и долгие разговоры с теми, кого давно не видели 
 
🫶Мы благодарим наших спонсоров – магазины Спортмастер и [club92462530|Вертикаль]  Производство Снаряжения) – за поддержку. Победители получат приятные призы на награждении.

😍А ещё [club48593|Спортмастер] подготовил стильную экипировку для наших инструкторов – смотрите, как красиво получилось! 
 
Отдельная благодарность: 
 
Всем участникам – за вашу волю к победе и честную борьбу! 
 
Судейской коллегии – за внимательность и справедливость! 
 
Ивану Барченкову и Марии Воронцовой – за невероятно вкусное и сытное питание для судей! 

Скоро объявим итоги – осталось немного подождать! 🌟",2170.0,76,1.0,1.0,https://vk.com/wall-403500_5913,root_post,78,1,0.9814083,neutral,6,спорт,"Спортивная одежда, спортивные товары"
5911,-403500,2025-04-22 11:15:28,2025,4,"Соревнования по ТГТ и ориентированию подошли к концу! 🎯🏆 
А пока подсчитываются результаты, нам важно узнать ваше мнение — оставьте обратную связь про соревнования, чтобы мы могли стать лучше!
https://forms.gle/NDC7woQKc815W3od8",1733.0,63,0.0,1.0,https://vk.com/wall-403500_5911,root_post,64,1,0.9899789,neutral,6,,
5904,-403500,2025-04-14 11:30:00,2025,4,"🚀 До старта ТГТ Вестры 2025 остались считанные дни! 
 
🧭 Выкладываем условия проведения соревнований на дистанциях ""Спортивное ориентирование"". 

🧗 А также сообщаем, что внесены небольшие изменения в Условия этапов: 

Дистанция ""НУ 2025"" – корректировка КВ этапов 9 и 10. 
 
Дистанция ""БУ 2025"" – корректировка КВ этапа 4. 
 
Дистанция ""СУ 2025"" – изменения в этапе 5:
-Убран КГ;
-Добавлена смена лидера на ПС1;
-Уточнено описание ПС2;
-Уточнены действия участников на ПС2. 
 
‼ Важно: 
Все участники обязаны ознакомиться с ""Инструкцией по технике безопасности"". 
 
На старте необходимо сдать ""Освобождение от ответственности"" (по одному от каждого участника). 
 
📌 Все документы прикреплены в комментариях. 
 
Готовьтесь к захватывающим соревнованиям! 🧭💨",1824.0,43,3.0,2.0,https://vk.com/wall-403500_5904,root_post,48,0,0.8138432,negative,3,спорт,"Спортивная одежда, спортивные товары"
5899,-403500,2025-04-02 18:15:00,2025,4,"🏔 ""ТГТ Вестра 2025"" – пора проверить свои силы на соревнованиях по технике горного туризма!

📅 Даты: 19–20 апреля 2025 года 
📍 Место: Полушкинские карьеры, д. Васильево 
 
Программа соревнований: 
🔹 19 апреля (суббота) 
ТГТ (СУ) – горная дистанция, связка-двойка
ТГТ (НУ) – горная дистанция, личный зачёт
Ориентирование (БУ) – личный зачёт 
 
🔹 20 апреля (воскресенье) 
ТГТ (БУ) – горная дистанция, связка-двойка
Ориентирование (СУ) – личный зачёт
Ориентирование (НУ) – командный зачёт (2 человека) 
 
📌 Регистрация: 

ТГТ: https://forms.gle/scuwrGQPy2EUmPt3A 
 
Ориентирование: https://forms.gle/wLCLgUozXX9q5d9y9 
 
⏳ Регистрация открыта до 11 апреля! 

Смотрим видео как это было в прошлом году! 
Автор видео Баскаков Александр

До встречи на старте! 🧗‍♂🏃‍♂",2254.0,54,0.0,11.0,https://vk.com/wall-403500_5899,root_post,65,0,0.7774739,negative,3,туризм,"Туристическое снаряжение, туристические услуги"
5899,-403500,2025-04-02 18:15:00,2025,4,"🏔 ""ТГТ Вестра 2025"" – пора проверить свои силы на соревнованиях по технике горного туризма!

📅 Даты: 19–20 апреля 2025 года 
📍 Место: Полушкинские карьеры, д. Васильево 
 
Программа соревнований: 
🔹 19 апреля (суббота) 
ТГТ (СУ) – горная дистанция, связка-двойка
ТГТ (НУ) – горная дистанция, личный зачёт
Ориентирование (БУ) – личный зачёт 
 
🔹 20 апреля (воскресенье) 
ТГТ (БУ) – горная дистанция, связка-двойка
Ориентирование (СУ) – личный зачёт
Ориентирование (НУ) – командный зачёт (2 человека) 
 
📌 Регистрация: 

ТГТ: https://forms.gle/scuwrGQPy2EUmPt3A 
 
Ориентирование: https://forms.gle/wLCLgUozXX9q5d9y9 
 
⏳ Регистрация открыта до 11 апреля! 

Смотрим видео как это было в прошлом году! 
Автор видео Баскаков Александр

До встречи на старте! 🧗‍♂🏃‍♂",2254.0,54,0.0,11.0,https://vk.com/wall-403500_5899,root_post,65,0,0.7774739,negative,3,авто,"Автоаксессуары, шины, масла"
5896,-403500,2025-04-01 18:01:03,2025,4,"А судьи кто?

Мы! 

ТГТ 19-20 апреля! Ждем помощников и судей для организации ежегодного соревнования по Технике Горного Туризма. 
Заполняйте анкету, ждем вас!)

https://forms.gle/hy6rVDW4PYgP6FQU6",2440.0,66,1.0,2.0,https://vk.com/wall-403500_5896,root_post,69,1,0.982778,neutral,6,туризм,"Туристическое снаряжение, туристические услуги"
5270,-403500,2024-05-06 18:00:03,2024,5,"Активные первомайские праздники! 

Кто-то чудесно прогулялся в ПВД, кто-то в степенной поход, кто-то потренил веревочную технику, кто-то прошел скальные сборы в Крыму от Вестры, кто-то дружественной компанией съездил на скалы под Выборгом! 

Разнообразие и насыщенность праздничных дней - это Вестра!) Надо все успеть после ТГТ и до КП😉 Скоро снова сплошные тренировки))",4612.0,110,0.0,1.0,https://vk.com/wall-403500_5270,root_post,111,1,0.9625339,neutral,6,,
5255,-403500,2024-04-19 19:02:02,2024,4,"Вы ждали, ждали и дождались РЕЗУЛЬТАТОВ ТГТ!
С огромным удовольствием представляем 🎉ПОБЕДИТЕЛЕЙ🎉 наших соревнований по технике горного туризма!

Напомним, в школе НУ зачет личный, в БУ и СУ — по связкам. 

Также в этом году впервые были официально проведены дистанции БУ+ и СУ+ (связки из руководителей и опытных членов клуба). Их тоже не оставим без призов :) 

🏆СУ:
Дистанция связки «мужская-мужская»
🥇 Швецков - Барбашов (рук. Симакина)
🥈 Павлов - Платов (рук. Белуха)
🥉 Ларюшин - Агафонов (рук. Белуха)

Дистанция связки «женская-женская»
🥇 Егорова - Колбасова (рук. Белуха)
🥈 Анашкина - Сереброва (рук. Иванов)
🥉 Воробьева - Фоменко (рук. Симакина)

Дистанция связки «мужская-женская»
🥇 Соловьёв - Суркова (рук. Орехов)
🥈 Анисимов - Дорожкина (рук. Курбатов/Посашков)
🥉 Байер - Курышкина (рук. Симакина)

Абсолют в СУ
🥇Швецков - Барбашов (рук. Симакина)
🥈Анисимов - Дорожкина (рук. Курбатов/Посашков)
🥉Соловьёв - Суркова (рук. Орехов)

🏆БУ:
Дистанция связки «мужская-мужская»
🥇Горб - Мазин (рук. Адгамов)
🥈Владимиров - Казак (рук. Зорина)
🥉Мухин - Румянцев (рук. Медведев)

Дистанция связки «женская-женская»
🥇Харькова - Харькова (рук. Баскаков)
🥈Корнеева - Лашукова (рук. Баскаков)
🥉Досова - Жукова (рук. Зорина)

Дистанция связки «мужская-женская»
🥇Гололобов - Зименок (рук. Шабалин)
🥈Барсуков - Баронецкая (рук. Баскаков)
🥉Дементьев - Беленькая (рук. Медведев)

Абсолют в БУ
🥇Гололобов - Зименок (рук. Шабалин)
🥈Барсуков - Баронецкая (рук. Баскаков)
🥉Горб - Мазин (рук. Адгамов)

🏆НУ:
Дистанция личная «мужская»
🥇Андреев (рук. Комаров)
🥈Нефедов (рук. Титков)
🥉Пономарев (рук. Титков)

Дистанция личная «женская»
🥇Курманова (рук. Тихова)
🥈Кочерова (рук. Комаров)
🥉Шевчук (рук. Синельченков)

Абсолют в НУ
🥇Андреев (рук. Комаров)
🥈Курманова (рук. Тихова)
🥉Нефедов (рук. Титков)

И призеры вне школ:
🏆Победители вне зачета на дистанции БУ+
🥇Баскаков Александр - Башкирова Ирина

🏆Лучшие связки на дистанции БУ+
🥇Головня Михаил - Лисичкина Дарья
🥈Лукина Наталья - Кузнеченко Валерия
🥉Соловьев Юрий - Хранилова Дина

🏆Невероятные ребята на дистанции СУ+
🥇 Данилина Анна - Иванов Евгений
🥈 Мартынов Василий - Штондин Павел
🥉 Джураев Алижон - Дьячков Григорий

Поздравляем и желаем вам новых достижений и безопасных приключений! Все молодцы!

P.s. Результаты ориентирования будут выложены позже.

‼ Награждение победителей пройдет в среду 24 апреля 2024 в 19:30 в Пике Безумия по адресу: м. Таганская, ул. Воронцовская 6, стр.7, вход со двора. Сбор с 19:00😉

P.p.s. Приглашаем судей и помощников на встречу, помимо награждения, обсудим и отметим прошедшее соревнование!)))",6319.0,135,6.0,15.0,https://vk.com/wall-403500_5255,root_post,156,1,0.4524099,neutral,4,туризм,"Туристическое снаряжение, туристические услуги"
5233,-403500,2024-04-15 19:35:00,2024,4,"🧗‍♂ Суббота и воскресенье. Полушкинские карьеры. 187 участников. Около 50 судей и 20 помощников. Десятки веревок и карабинов. И все это - соревнования по Технике горного туризма Вестра 2024, прошедшие в эти выходные! 

✍ Пока подсчитываются результаты, а впечатления не угасли, можете поделиться ими по ссылке: 
https://forms.gle/j99cg6xrWJJraRkW9

Анкета как для участников так и для организаторов😉

📸 Фотографии с ТГТ можно добавлять по ссылке: 
https://vk.com/album-403500_302408908",6362.0,143,4.0,4.0,https://vk.com/wall-403500_5233,root_post,151,2,0.7514456,positive,7,туризм,"Туристическое снаряжение, туристические услуги"
